,c1:Water,c2:Tree,c3:Flooded Vegetation,c4:Crops,c5:Bare Ground,c6:Rangeland,c7:Rural,c8:Urban
c1:Water,357826666,673329,13136357,1013118,426985,1174540,120581,143161
c2:Tree,11936055,10630605645,88591908,111693536,398127,936212110,38785253,9473877
c3:Flooded Vegetation,2096685,974390,92786386,3001164,203558,2230947,182934,46496
c4:Crops,1692754,21513249,13189578,2085045888,2189664,255427149,104912410,43624719
c5:Bare Ground,144422255,500231,8831110,40616962,6909706832,780464821,24090829,3901394
c6:Rangeland,43977930,1715808270,126037167,1438524793,1017256809,22404160100,173122889,23176334
c7:Rural,64484,1747120,378093,26552051,526532,7197553,96514840,35018625
c8:Urban,47988,663027,136118,17502755,39866,1776527,55714485,152752543
