,c1:Water,c2:Tree,c3:Flooded Vegetation,c4:Crops,c5:Bare Ground,c6:Rangeland,c7:Rural,c8:Urban
c1:Water,349696447,1854715,17498628,1404986,1066867,2676726,172767,143601
c2:Tree,11693009,10666074004,92974911,88670609,114374,924824040,35268639,8076925
c3:Flooded Vegetation,2738023,1314056,91335449,3099058,191608,2678054,133726,32586
c4:Crops,2578712,35132502,16148680,2049600224,4411459,271814338,109005210,38904286
c5:Bare Ground,150460615,627358,9567455,44284908,6728215237,948538710,26678509,4180580
c6:Rangeland,45421726,2306702501,140506071,1495064169,1109391509,21645963824,180028234,18967320
c7:Rural,72194,2446774,411546,26869364,542602,8835135,96850952,31970731
c8:Urban,51117,913275,166192,18734202,41140,2293689,58278108,148155586
