,c1:Water,c2:Tree,c3:Flooded Vegetation,c4:Crops,c5:Bare Ground,c6:Rangeland,c7:Rural,c8:Urban
c1:Water,347493476,1292766,18008924,3185956,2493349,5325734,292414,164896
c2:Tree,13857578,10236383202,83999793,216441675,5562997,2082190991,49601044,12625719
c3:Flooded Vegetation,2705997,3519723,82948995,11245853,1477907,10466472,380641,67127
c4:Crops,1399362,14722789,10441550,1991443122,5573000,207799397,110800079,41969771
c5:Bare Ground,141746060,1057620,8597369,15158712,6898435883,616566045,18151309,3311276
c6:Rangeland,32099638,1412012409,107649072,1633889275,1482125203,21540382419,221702912,24965547
c7:Rural,70093,1404033,264197,22923569,811096,6117872,82877539,31110193
c8:Urban,40037,428469,107114,16607295,117817,1409516,47718553,134823547
