,c1:Water,c2:Tree,c3:Flooded Vegetation,c4:Crops,c5:Bare Ground,c6:Rangeland,c7:Rural,c8:Urban
c1:Water,359903250,495994,14691405,963922,429416,1510017,137947,125224
c2:Tree,12980809,11243022295,112867073,128472465,141025,1119086341,43965409,13631276
c3:Flooded Vegetation,2448593,1027575,104344509,2023812,104566,2647646,173340,42593
c4:Crops,1504801,33161148,16915294,1966232557,3130813,210695127,109602693,42906486
c5:Bare Ground,140798930,1004594,11003971,18522727,6913028123,594975361,20264414,3424902
c6:Rangeland,35965493,1889129734,149232948,1371851359,1250220550,21537705131,197477267,23239003
c7:Rural,61563,1262828,389167,17887900,131875,5493924,89468546,30880792
c8:Urban,43912,571448,170005,11581465,24877,1041467,48448953,139370221
